ts_index,lag_index,sigma
0.0000000000000000e+00,1.0000000000000000e+00,6.9719970167786993e-01
0.0000000000000000e+00,2.0000000000000000e+00,9.0843083775456668e-01
0.0000000000000000e+00,3.0000000000000000e+00,1.0262294599946278e+00
0.0000000000000000e+00,4.0000000000000000e+00,1.0786490006615379e+00
0.0000000000000000e+00,5.0000000000000000e+00,1.0561790456835110e+00
0.0000000000000000e+00,6.0000000000000000e+00,9.2267999164502523e-01
0.0000000000000000e+00,7.0000000000000000e+00,9.5818579904778503e-02
0.0000000000000000e+00,8.0000000000000000e+00,6.5053931457832104e-01
0.0000000000000000e+00,9.0000000000000000e+00,8.7460924631094639e-01
0.0000000000000000e+00,1.0000000000000000e+01,9.9909373149025071e-01
0.0000000000000000e+00,1.1000000000000000e+01,1.0893346092497498e+00
0.0000000000000000e+00,1.2000000000000000e+01,1.1064180004954303e+00
0.0000000000000000e+00,1.3000000000000000e+01,1.0147291235864884e+00
0.0000000000000000e+00,1.4000000000000000e+01,7.0821577481658654e-02
0.0000000000000000e+00,1.5000000000000000e+01,1.6278660186281019e-01
0.0000000000000000e+00,1.6000000000000000e+01,3.2078872614593468e-01
0.0000000000000000e+00,1.7000000000000000e+01,3.5818920290285777e-01
0.0000000000000000e+00,1.8000000000000000e+01,3.6940803316765330e-01
0.0000000000000000e+00,1.9000000000000000e+01,3.4989139209407855e-01
0.0000000000000000e+00,2.0000000000000000e+01,0.0000000000000000e+00
